AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2024-25,Spring,,DESN 100,001,20523,Allison_Shelby,24,13,11,10,Cheney,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Spring,,DESN 200,001,20524,Mills_Simeon,10,10,0,10,Cheney,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Spring,,DESN 216,001,20525,Sopu_Ariel,24,16,8,10,Cheney,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Spring,,DESN 216,025,20546,Pettigrew_Allan_Barton_Jayleana,26,21,5,10,Cheney,MTWRF,,,5,Performance,Campus,,
2024-25,Spring,,DESN 216,075,22343,Pettigrew_Allan_Barton_Jayleana,4,2,2,5,Cheney,MTWRF,,,5,Performance,Campus,,
2024-25,Spring,,DESN 243,040,20526,Durr_Sonja,24,15,9,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Spring,,DESN 301,040,20528,Mills_Simeon,24,22,2,10,Spokane,MTW,04:00,06:20,5,Performance,Campus,,
2024-25,Spring,,DESN 305,040,20529,Norris_Erica,24,22,2,10,Spokane,MTW,04:00,06:20,5,Performance,Campus,,
2024-25,Spring,,DESN 325,040,20530,Masingale_Travis,24,18,6,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Spring,,DESN 336,040,20531,Hustrutid_Ginelle,24,21,3,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Spring,,DESN 338,040,20532,Lybbert_Meg,24,14,10,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Spring,,DESN 351,040,20534,Thompson_Chris_Alberts_Jennifer,24,6,18,10,Spokane,MTW,04:00,06:20,5,Performance,Campus,,
2024-25,Spring,,DESN 359,040,20535,Durr_Sonja,24,22,2,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Spring,,DESN 363,040,20536,Sopu_Ariel,24,12,12,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
