AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2024-25,Winter,,DESN 100,001,10709,Allison_Shelby,24,22,2,10,Cheney,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Winter,,DESN 200,001,10710,Mills_Simeon,10,10,0,10,Cheney,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Winter,,DESN 216,001,10711,Sopu_Ariel,24,20,4,10,Cheney,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Winter,,DESN 216,025,10730,Pettigrew_Allan_Barton_Jayleana,23,22,1,10,Cheney,MTWRF,,,5,Performance,Campus,,
2024-25,Winter,,DESN 216,075,12152,Pettigrew_Allan_Barton_Jayleana,5,5,0,5,Cheney,MTWRF,,,5,Performance,Campus,,
2024-25,Winter,,DESN 243,040,10712,Durr_Sonja,24,21,3,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Winter,,DESN 263,040,10713,Sopu_Ariel,10,10,0,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Winter,,DESN 335,040,10714,Lybbert_Meg_Manikoth_Colin,10,10,0,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Winter,,DESN 338,025,10731,Lybbert_Meg,26,23,3,10,Cheney,MTWRF,,,5,Performance,Campus,,
2024-25,Winter,,DESN 338,075,12153,Lybbert_Meg,2,2,0,5,Cheney,MTWRF,,,5,Performance,Campus,,
2024-25,Winter,,DESN 348,040,10715,Lybbert_Meg,24,17,7,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Winter,,DESN 350,040,10716,Thompson_Chris_Alberts_Jennifer,24,14,10,10,Spokane,MTW,04:00,06:20,5,Performance,Campus,,
2024-25,Winter,,DESN 355,040,10718,Hustrutid_Ginelle,24,21,3,10,Spokane,MTW,04:00,06:20,5,Performance,Campus,,
2024-25,Winter,,DESN 359,040,10719,Durr_Sonja,23,20,3,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Winter,,DESN 360,040,10720,Mills_Simeon,24,18,6,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Winter,,DESN 363,040,10721,Sopu_Ariel,24,20,4,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Winter,,DESN 368,040,10723,Masingale_Travis,24,21,3,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Winter,,DESN 378,040,10724,Manikoth_Colin,24,17,7,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Winter,,DESN 399,040,12321,Masingale_Travis,4,4,0,0,Spokane,MTWRF,,,4,Independent Study,Campus,,
2024-25,Winter,,DESN 401,040,10726,Mills_Simeon,24,21,3,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Winter,,DESN 491,040,12337,Masingale_Travis,2,2,0,0,Spokane,MTWRF,,,2,Independent Study,Campus,,
2024-25,Winter,,DESN 491,041,12394,Breen_Melinda,3,3,0,0,Spokane,MTWRF,,,3,Independent Study,Campus,,
2024-25,Winter,,DESN 495,001,12193,Durr_Sonja,5,5,0,0,Spokane,MTWRF,,,5,Field Application,Campus,,
2024-25,Winter,,DESN 495,002,12253,Mills_Simeon,2,2,0,0,Spokane,MTWRF,,,2,Field Application,Campus,,
2024-25,Winter,,DESN 495,003,12266,Breen_Melinda,5,5,0,0,Spokane,MTWRF,,,5,Field Application,Campus,,
2024-25,Winter,,DESN 495,004,12267,Mills_Simeon,6,6,0,0,Spokane,MTWRF,,,6,Field Application,Campus,,
2024-25,Winter,,DESN 495,005,12385,Masingale_Travis,3,3,0,0,Spokane,MTWRF,,,3,Field Application,Campus,,
2024-25,Winter,,DESN 496,040,12186,Patterson_Tiffany,24,6,18,10,Spokane,TR,10:00,11:50,2,Experimental,Campus,,
2024-25,Winter,,DESN 499,040,12254,Masingale_Travis,3,3,0,0,Spokane,MTWRF,,,3,Independent Study,Campus,,
2024-25,Winter,,DESN 499,041,12268,Sopu_Ariel,2,2,0,0,Spokane,MTWRF,,,2,Independent Study,Campus,,
2024-25,Winter,,DESN 499,042,12269,Durr_Sonja,5,5,0,0,Spokane,MTWRF,,,5,Independent Study,Campus,,
2024-25,Winter,,DESN 499,043,12272,Mills_Simeon,3,3,0,0,Spokane,MTWRF,,,3,Independent Study,Campus,,
2024-25,Winter,,DESN 499,044,12306,Masingale_Travis,5,5,0,0,Spokane,MTWRF,,,5,Independent Study,Campus,,
2024-25,Winter,,DESN 499,045,12329,Masingale_Travis,6,6,0,0,Spokane,MTWRF,,,6,Independent Study,Campus,,
2024-25,Winter,,DESN 499,046,12340,Masingale_Travis,5,5,0,0,Spokane,MTWRF,,,5,Independent Study,Campus,,
2024-25,Winter,,DESN 499,047,12364,Manikoth_Colin,1,1,0,0,Spokane,MTWRF,,,1,Independent Study,Campus,,
2024-25,Winter,,DESN 499,048,12379,Mills_Simeon,3,3,0,0,Spokane,MTWRF,,,3,Independent Study,Campus,,
2024-25,Winter,,DESN 499,049,12380,Thompson_Chris,5,5,0,0,Spokane,MTWRF,,,5,Independent Study,Campus,,
2024-25,Winter,,DESN 499,051,12382,Hustrutid_Ginelle,5,5,0,0,Spokane,MTWRF,,,5,Independent Study,Campus,,
2024-25,Winter,,DESN 499,052,12393,Hustrutid_Ginelle,4,4,0,0,Spokane,MTWRF,,,4,Independent Study,Campus,,
