AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2023-24,Spring,,DESN 100,001,15863,Mills Simeon,24,16,8,10,Cheney,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 100,002,15864,Masingale Travis,24,22,2,10,Cheney,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 200,001,15865,Mills Simeon,24,23,1,10,Cheney,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 216,001,15866,Sopu Ariel,24,21,3,10,Cheney,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 216,027,15885,Pettigrew Allan,34,30,4,10,Cheney,SMTWRF,,,5,Performance,Campus,,
2023-24,Spring,,DESN 243,040,15867,Durr Sonja,24,14,10,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 263,040,15868,Hustrutid Ginelle,24,7,17,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 305,040,15869,Stodgell Brittany,24,23,1,10,Spokane,SMTWRF,04:00 PM,06:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 338,040,15886,Lybbert Meg,24,13,11,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 351,040,15871,Masingale Travis,24,9,15,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 359,001,15872,Durr Sonja,24,18,6,10,Cheney,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 363,040,15873,Sopu Ariel,24,23,1,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 365,040,15874,Hustrutid Ginelle,24,16,8,10,Spokane,SMTWRF,04:00 PM,06:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 366,040,17474,Sopu Ariel,24,8,16,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 368,040,15875,Manikoth Colin,24,23,1,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 385,001,17444,Braukmann James,24,8,16,10,Cheney,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 401,040,15877,Mills Simeon,24,14,10,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 458,040,15879,Lybbert Meg,24,15,9,10,Spokane,SMTWRF,04:00 PM,06:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 463,040,15880,Durr Sonja,24,10,14,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 468,040,15881,Manikoth Colin,24,13,11,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 480,040,15882,Manikoth Colin,24,15,9,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 490,040,15883,Breen Melinda,24,22,2,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Spring,,DESN 491,040,17650,Breen Melinda,1,0,1,0,Spokane,SMTWRF,,,4,Independent,Campus,,
2023-24,Spring,,DESN 493,040,15884,Lybbert Meg,24,12,12,10,Spokane,SMT,10:00 AM,11:50 AM,2,Performance,Campus,,
2023-24,Spring,,DESN 495,041,17651,Masingale Travis,5,5,0,0,Spokane,SMTWRF,,,5,Field Application,Campus,,
2023-24,Spring,,DESN 495,042,17733,Breen Melinda,2,2,0,0,Spokane,SMTWRF,,,2,Field Application,Campus,,
2023-24,Spring,,DESN 495,043,17805,Breen Melinda,3,3,0,0,Spokane,SMTWRF,,,3,Field Application,Campus,,
2023-24,Spring,,DESN 499,040,17652,Kuhn Jamin,3,3,0,0,Spokane,SMTWRF,,,3,Independent,Campus,,
2023-24,Spring,,DESN 499,041,17653,Kuhn Jamin,5,5,0,0,Spokane,SMTWRF,,,5,Independent,Campus,,
2023-24,Spring,,DESN 499,042,17590,Durr Sonja,3,3,0,0,Spokane,SMTWRF,,,3,Independent,Campus,,
2023-24,Spring,,DESN 499,043,17739,Masingale Travis,5,5,0,0,Spokane,SMTWRF,,,5,Independent,Campus,,
2023-24,Spring,,DESN 499,044,17734,Durr Sonja,2,2,0,0,Spokane,SMTWRF,,,2,Independent,Campus,,
2023-24,Spring,,DESN 499,045,17735,Breen Melinda,4,4,0,0,Spokane,SMTWRF,,,4,Independent,Campus,,
2023-24,Spring,,DESN 499,046,17769,Pettigrew Allan,5,5,0,0,Spokane,SMTWRF,,,5,Independent,Campus,,
2023-24,Spring,,DESN 499,047,17770,Masingale Travis,5,5,0,0,Spokane,SMTWRF,,,5,Independent,Campus,,
2023-24,Spring,,DESN 499,048,17771,Masingale Travis,3,3,0,0,Spokane,SMTWRF,,,3,Independent,Campus,,
2023-24,Spring,,DESN 499,049,17772,Pettigrew Allan,2,2,0,0,Spokane,SMTWRF,,,2,Independent,Campus,,
2023-24,Spring,,DESN 499,050,17820,Sopu Ariel,3,3,0,0,Spokane,SMTWRF,,,3,Independent,Campus,,
2023-24,Spring,,DESN 499,051,17827,Manikoth Colin,2,2,0,0,Spokane,SMTWRF,,,2,Independent,Campus,,
