AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2024-25,Fall,,DESN 100,001,40819,Sopu_Ariel,24,21,3,10,Cheney,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Fall,,DESN 100,002,42098,Allison_Shelby,24,19,5,5,Cheney,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Fall,,DESN 200,001,40820,Mills_Simeon,24,22,2,10,Cheney,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Fall,,DESN 200,002,42099,Heidle_Carl,24,20,4,5,Cheney,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Fall,,DESN 216,001,40821,Sopu_Ariel,24,21,3,10,Cheney,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Fall,,DESN 216,025,40835,Pettigrew_Allan_Barton_Jayleana,35,31,4,10,Cheney,MTWRF,,,5,Performance,Campus,,
2024-25,Fall,,DESN 243,001,41981,Durr_Sonja,24,14,10,0,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Fall,,DESN 263,040,40822,Sopu_Ariel,24,17,7,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Fall,,DESN 301,040,40823,Mills_Simeon,10,10,0,10,Spokane,MTW,02:00,04:20,5,Performance,Campus,,
2024-25,Fall,,DESN 325,040,40824,Masingale_Travis,24,15,9,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Fall,,DESN 326,040,40825,Hustrutid_Ginelle,10,10,0,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Fall,,DESN 338,040,40826,Lybbert_Meg,24,17,7,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Fall,,DESN 343,001,41982,Breen_Melinda,24,8,16,0,Spokane,MTW,04:00,06:20,5,Performance,Campus,,
2024-25,Fall,,DESN 350,040,40827,Davis_Dean,24,14,10,10,Spokane,MTW,04:00,06:20,5,Performance,Campus,,
2024-25,Fall,,DESN 359,001,40828,Durr_Sonja,24,18,6,10,Cheney,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Fall,,DESN 368,040,40830,Masingale_Travis,24,18,6,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Fall,,DESN 463,040,40831,Durr_Sonja,24,19,5,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Fall,,DESN 480,040,40832,Manikoth_Colin,24,15,9,10,Spokane,MTW,01:00,03:20,5,Performance,Campus,,
2024-25,Fall,,DESN 490,040,40833,Manikoth_Colin,24,14,10,10,Spokane,MTW,10:00,12:20,5,Performance,Campus,,
2024-25,Fall,,DESN 495,001,42084,Breen_Melinda,10,10,0,0,Spokane,MTWRF,,,5,Field Application,Campus,,
2024-25,Fall,,DESN 495,002,42104,Breen_Melinda,10,10,0,0,Spokane,MTWRF,,,5,Field Application,Campus,,
2024-25,Fall,,DESN 495,003,42117,Breen_Melinda,4,3,1,0,Spokane,MTWRF,,,2,Field Application,Campus,,
2024-25,Fall,,DESN 495,040,42123,Mills_Simeon,3,3,0,0,Spokane,MTWRF,,,3,Field Application,Campus,,
2024-25,Fall,,DESN 499,040,42124,Manikoth_Colin,2,2,0,0,Spokane,MTWRF,,,2,Independent Study,Campus,,
2024-25,Fall,,DESN 499,041,42127,Breen_Melinda,5,5,0,0,Spokane,MTWRF,,,5,Independent Study,Campus,,
2024-25,Fall,,DESN 499,042,42859,Hustrutid_Ginelle,5,5,0,0,Spokane,MTWRF,,,5,Independent Study,Campus,,
2024-25,Fall,,DESN 499,043,42860,Masingale_Travis,5,5,0,0,Spokane,MTWRF,,,5,Independent Study,Campus,,
2024-25,Fall,,DESN 499,044,42877,Sopu_Ariel,2,2,0,0,Spokane,MTWRF,,,2,Independent Study,Campus,,
2024-25,Fall,,DESN 499,045,42889,Hustrutid_Ginelle,5,5,0,0,Spokane,MTWRF,,,5,Independent Study,Campus,,
2024-25,Fall,,DESN 499,046,42907,Masingale_Travis,4,4,0,0,Spokane,MTWRF,,,4,Independent Study,Campus,,
