AcademicYear,Quarter,CensusDate,CourseCode,Section,CRN,Instructor,Capacity,Enrolled,SeatsRemaining,Waitlist,Campus,Days,StartTime,EndTime,Credits,ScheduleType,DeliveryMode,Room,Building
2023-24,Winter,,DESN 100,002,15954,Sopu Ariel,24,10,14,10,Cheney,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 200,001,15955,Mills Simeon,25,21,4,10,Cheney,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 216,001,15956,Sopu Ariel,24,10,14,10,Cheney,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 216,027,15972,Pettigrew Allan,24,10,14,10,Cheney,SMTWRF,,,5,Performance,Campus,,
2023-24,Winter,,DESN 243,040,15957,Durr Sonja,24,17,7,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 263,040,15958,Hustrutid Ginelle,24,17,7,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 325,040,15959,Masingale Travis,24,16,8,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 336,040,15960,Hustrutid Ginelle,24,14,10,10,Spokane,SMTWRF,04:00 PM,06:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 338,025,15961,Pettigrew Allan,24,22,2,10,Cheney,SMTWRF,,,5,Performance,Campus,,
2023-24,Winter,,DESN 348,040,15962,Poosri Tyrell,24,20,4,10,Spokane,SMTWRF,04:00 PM,06:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 350,040,15963,Masingale Travis,24,9,15,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 355,040,15964,Hustrutid Ginelle,24,20,4,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 359,040,15965,Durr Sonja,25,15,10,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 360,040,15966,Mills Simeon,24,14,10,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 363,040,15967,Sopu Ariel,24,7,17,10,Spokane,SMTWRF,04:00 PM,06:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 368,040,15968,Manikoth Colin,24,14,10,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 378,040,15969,Manikoth Colin,24,8,16,10,Spokane,SMTWRF,01:00 PM,03:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 384,027,15974,Braukmann James,25,24,1,10,Cheney,SMTWRF,,,5,Performance,Campus,,
2023-24,Winter,,DESN 463,040,15970,Durr Sonja,24,14,10,10,Spokane,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 490,001,17473,Kuhn Jamin,24,24,0,0,Cheney,SMTWRF,10:00 AM,12:20 PM,5,Performance,Campus,,
2023-24,Winter,,DESN 491,040,15975,Breen Melinda,10,5,5,5,Spokane,SMTWRF,,,5,Independent,Campus,,
2023-24,Winter,,DESN 493,041,17215,Manikoth Colin,24,12,12,5,Spokane,SMTW,10:00 AM,11:50 AM,2,Performance,Campus,,
2023-24,Winter,,DESN 495,001,17474,Breen Melinda,3,3,0,0,Spokane,SMTWRF,,,3,Field Application,Campus,,
2023-24,Winter,,DESN 495,003,17528,Hustrutid Ginelle,2,2,0,0,Spokane,SMTWRF,,,2,Field Application,Campus,,
2023-24,Winter,,DESN 499,040,17262,Sopu Ariel,24,24,0,0,Spokane,SMTWRF,,,5,Independent,Campus,,
2023-24,Winter,,DESN 499,041,17375,Sopu Ariel,2,1,1,0,Spokane,SMTWRF,,,5,Independent,Campus,,
2023-24,Winter,,DESN 499,042,17376,Durr Sonja,2,1,1,0,Spokane,SMTWRF,,,2,Independent,Campus,,
2023-24,Winter,,DESN 499,043,17452,Pettigrew Allan,2,1,1,0,Spokane,SMTWRF,,,2,Independent,Campus,,
2023-24,Winter,,DESN 499,044,17453,Hustrutid Ginelle,1,1,0,0,Spokane,SMTWRF,,,1,Independent,Campus,,
2023-24,Winter,,DESN 499,045,17457,Pettigrew Allan,2,1,1,0,Spokane,SMTWRF,,,3,Independent,Campus,,
2023-24,Winter,,DESN 499,046,17466,Masingale Travis,3,3,0,0,Spokane,SMTWRF,,,3,Independent,Campus,,
2023-24,Winter,,DESN 499,047,17490,Kuhn Jamin,1,1,0,0,Spokane,SMTWRF,,,1,Independent,Campus,,
2023-24,Winter,,DESN 499,048,17535,Hustrutid Ginelle,24,24,0,0,Spokane,SMTWRF,,,5,Independent,Campus,,
2023-24,Winter,,DESN 499,049,17552,Manikoth Colin,2,2,0,0,Spokane,SMTWRF,,,2,Independent,Campus,,
